# I=2A U=4.4V
# U/V I/mA
0   0.000
5   0.000
10  0.004
15  0.023
20  0.044
25  0.066
30  0.080
35  0.086
40  0.089
45  0.091
50  0.092
55  0.093
60  0.095
70  0.095
80  0.096
90  0.096
100 0.097
110 0.097
120 0.098
130 0.098
140 0.099
150 0.099
160 0.099
170 0.100
180 0.100
190 0.100
200 0.100
210 0.101
220 0.101
230 0.101
240 0.101
250 0.102
