# I=1.9A U=4V
# U/V I/mA
0   0.000
5   0.000
10  0.000
15  0.003
20  0.011
25  0.023
30  0.031
35  0.035
40  0.037
45  0.038
50  0.039
55  0.039
60  0.040
70  0.040
80  0.041
90  0.041
100 0.041
110 0.041
120 0.042
130 0.042
140 0.042
150 0.042
160 0.043
170 0.043
180 0.043
190 0.043
200 0.043
210 0.043
220 0.043
230 0.043
240 0.044
250 0.044
