# I=2.2A U=5V
# U/V I/mA
0   0.000
5   0.013
10  0.053
15  0.108
20  0.166
25  0.236
30  0.285
35  0.331
40  0.358
45  0.376
50  0.387
55  0.394
60  0.400
70  0.407
80  0.411
90  0.414
100 0.417
110 0.419
120 0.422
130 0.423
140 0.425
150 0.427
160 0.428
170 0.430
180 0.431
190 0.432
200 0.433
210 0.434
220 0.435
230 0.436
240 0.437
250 0.438
