time [µs]	Amp[V]	HF [V]	TGC [dB]
92,5	0,008	-0,002	24,409
92,6	0,009	0,006	24,409
92,7	0,008	-0,002	24,567
92,8	0,007	0,006	24,567
92,9	0,006	-0,002	24,567
93,0	0,007	0,006	24,567
93,1	0,007	-0,002	24,567
93,2	0,007	-0,002	24,567
93,3	0,007	-0,002	24,567
93,4	0,005	-0,002	24,567
93,5	0,005	-0,002	24,567
93,6	0,006	-0,002	24,567
93,7	0,008	-0,002	24,567
93,8	0,009	0,006	24,724
93,9	0,008	-0,002	24,724
94,0	0,007	-0,002	24,724
94,1	0,006	-0,002	24,724
94,2	0,006	-0,002	24,724
94,3	0,006	-0,002	24,724
94,4	0,006	-0,002	24,724
94,5	0,007	-0,002	24,882
94,6	0,007	-0,002	24,724
94,7	0,008	-0,002	24,724
94,8	0,009	0,006	24,882
94,9	0,009	-0,002	24,882
95,0	0,008	-0,002	24,882
95,1	0,007	-0,002	24,882
95,2	0,007	-0,002	24,882
95,3	0,006	-0,002	24,882
95,4	0,007	-0,002	25,039
95,5	0,007	-0,002	24,882
95,6	0,008	-0,002	24,882
95,7	0,007	-0,002	25,039
95,8	0,007	-0,002	25,039
95,9	0,007	-0,002	25,039
96,0	0,008	-0,002	25,039
96,1	0,010	-0,002	25,039
96,2	0,011	-0,002	25,039
96,3	0,011	0,006	25,197
96,4	0,010	-0,009	25,197
96,5	0,010	-0,002	25,197
96,6	0,009	-0,002	25,197
96,7	0,009	-0,002	25,197
96,8	0,009	-0,002	25,039
96,9	0,009	-0,002	25,197
97,0	0,010	-0,002	25,197
97,1	0,011	-0,002	25,197
97,2	0,012	0,006	25,197
97,3	0,012	-0,002	25,197
97,4	0,011	-0,002	25,354
97,5	0,009	0,006	25,354
97,6	0,008	-0,002	25,354
97,7	0,008	-0,002	25,354
97,8	0,008	-0,002	25,354
97,9	0,009	-0,002	25,354
98,0	0,009	-0,002	25,354
98,1	0,008	-0,002	25,512
98,2	0,009	-0,002	25,512
98,3	0,010	-0,002	25,354
98,4	0,011	-0,002	25,512
98,5	0,013	-0,009	25,512
98,6	0,013	-0,002	25,512
98,7	0,013	-0,002	25,512
98,8	0,013	-0,002	25,669
98,9	0,015	-0,009	25,512
99,0	0,018	-0,002	25,669
99,1	0,020	-0,009	25,512
99,2	0,020	0,006	25,669
99,3	0,018	-0,002	25,669
99,4	0,017	-0,002	25,669
99,5	0,017	-0,002	25,512
99,6	0,017	0,006	25,669
99,7	0,018	-0,002	25,669
99,8	0,017	-0,002	25,669
99,9	0,017	-0,002	25,827
